"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Montenegro","2010","Female","5.9",""
"Montenegro","2010","Male","6.6",""
"Montenegro","2010","Both sexes","6.3",""
"Montenegro","2008","Female","5.9",""
"Montenegro","2008","Male","6.6",""
"Montenegro","2008","Both sexes","6.3",""
"Morocco","2010","Both sexes","11",""
"Morocco","2010","Female","8.2",""
"Morocco","2010","Male","12.5",""
"Morocco","2008","Female","8.2",""
"Morocco","2008","Male","12.5",""
"Morocco","2008","Both sexes","11",""
"Mozambique","2010","Male","12.7",""
"Mozambique","2010","Female","7.4",""
"Mozambique","2010","Both sexes","10",""
"Mozambique","2008","Male","12.7",""
"Mozambique","2008","Female","7.4",""
"Mozambique","2008","Both sexes","10",""
"Myanmar","2010","Female","8.2",""
"Myanmar","2010","Male","22.5",""
"Myanmar","2010","Both sexes","15.3",""
"Myanmar","2008","Both sexes","15.3",""
"Myanmar","2008","Male","22.5",""
"Myanmar","2008","Female","8.2",""
"Namibia","2010","Male","31.9",""
"Namibia","2010","Female","29.9",""
"Namibia","2010","Both sexes","31.1",""
"Namibia","2008","Male","28.6",""
"Namibia","2008","Both sexes","25.8",""
"Namibia","2008","Female","22.9",""
"Nauru","2010","Female","-",""
"Nauru","2010","Male","-",""
"Nauru","2010","Both sexes","-",""
"Nepal","2010","Both sexes","9.4",""
"Nepal","2010","Male","13",""
"Nepal","2010","Female","5.3",""
"Nepal","2008","Both sexes","9.4",""
"Nepal","2008","Female","5.3",""
"Nepal","2008","Male","13",""
"Netherlands","2010","Female","-",""
"Netherlands","2010","Male","-",""
"Netherlands","2010","Both sexes","-",""
"New Zealand","2010","Both sexes","20.1",""
"New Zealand","2010","Male","18.7",""
"New Zealand","2010","Female","21.5",""
"New Zealand","2008","Female","21.5",""
"New Zealand","2008","Male","18.7",""
"New Zealand","2008","Both sexes","20.1",""
"Nicaragua","2010","Female","20.5",""
"Nicaragua","2010","Male","30.4",""
"Nicaragua","2010","Both sexes","25.1",""
"Nicaragua","2008","Both sexes","25.1",""
"Nicaragua","2008","Female","20.5",""
"Nicaragua","2008","Male","30.4",""
"Niger","2010","Male","11.8",""
"Niger","2010","Female","5.6",""
"Niger","2010","Both sexes","8.6",""
"Niger","2008","Both sexes","11.7",""
"Niger","2008","Female","8",""
"Niger","2008","Male","15.2",""
"Nigeria","2010","Female","11.1",""
"Nigeria","2010","Male","19.2",""
"Nigeria","2010","Both sexes","15.4",""
"Nigeria","2008","Male","19.2",""
"Nigeria","2008","Both sexes","15.4",""
"Nigeria","2008","Female","11.1",""
"Niue","2010","Male","-",""
"Niue","2010","Female","-",""
"Niue","2010","Both sexes","-",""
"Norway","2010","Both sexes","-",""
"Norway","2010","Female","-",""
"Norway","2010","Male","-",""
"Oman","2010","Male","4.9",""
"Oman","2010","Female","1.7",""
"Oman","2010","Both sexes","3.3",""
"Oman","2008","Both sexes","15.2",""
"Oman","2008","Female","11.3",""
"Oman","2008","Male","17.8",""
"Pakistan","2010","Female","7.5",""
"Pakistan","2010","Male","12.4",""
"Pakistan","2010","Both sexes","10.1",""
"Pakistan","2008","Male","12.4",""
"Pakistan","2008","Female","7.5",""
"Pakistan","2008","Both sexes","10.1",""
"Palau","2010","Male","58.3",""
"Palau","2010","Female","42.4",""
"Palau","2010","Both sexes","50.3",""
"Palau","2008","Female","28.4",""
"Palau","2008","Both sexes","33.1",""
"Palau","2008","Male","38",""
"Panama","2010","Female","6.5",""
"Panama","2010","Male","10.5",""
"Panama","2010","Both sexes","8.4",""
"Panama","2008","Both sexes","8.4",""
"Panama","2008","Female","6.5",""
"Panama","2008","Male","10.5",""
